year,marital_status,age,education_years,children,happiness,health,employment_status,party_id
2024,Married,65,NA,2,Pretty happy,Fair,"Unemployed, laid off, looking for work","Independent (neither, no response)"
2024,Married,74,3,5,Very happy,Fair,Keeping house,"Independent (neither, no response)"
2024,Separated,47,17,3,Pretty happy,Fair,Keeping house,"Independent (neither, no response)"
2024,Married,62,14,8,Pretty happy,Fair,Keeping house,Strong democrat
2024,Separated,37,13,3,NA,Good,Working part time,Not very strong democrat
2024,Divorced,50,12,2,Pretty happy,Good,Working full time,Not very strong democrat
2024,Never married,34,14,3,Very happy,Good,Working part time,"Independent (neither, no response)"
2024,Married,36,16,0,Pretty happy,Excellent,Working part time,Strong democrat
2024,Widowed,75,14,2,Pretty happy,Excellent,Retired,Not very strong democrat
2024,Divorced,41,13,3,Not too happy,Fair,Other,"Independent (neither, no response)"
2024,Married,36,7,3,Very happy,Good,Keeping house,"Independent, close to democrat"
2024,Married,41,17,8,Very happy,Excellent,Working full time,"Independent (neither, no response)"
2024,Married,79,12,2,Pretty happy,Good,Retired,"Independent, close to democrat"
2024,Never married,26,13,0,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,55,12,1,Pretty happy,Good,Retired,Strong democrat
2024,Never married,34,12,0,Pretty happy,Excellent,Working full time,Strong republican
2024,Never married,54,12,0,Pretty happy,Fair,Working full time,Not very strong democrat
2024,Never married,61,15,0,Very happy,Good,Working full time,"Independent (neither, no response)"
2024,Never married,72,14,0,Pretty happy,Good,Retired,Strong democrat
2024,Never married,54,16,0,Pretty happy,Excellent,Working full time,Not very strong democrat
2024,Separated,57,20,1,Not too happy,Fair,"With a job, but not at work because of temporary illness, vacation, strike",Strong democrat
2024,Married,60,18,0,Very happy,Good,Working full time,Not very strong republican
2024,Never married,86,16,0,Pretty happy,Fair,Retired,Strong democrat
2024,Married,66,12,2,Pretty happy,Good,Retired,Strong republican
2024,Widowed,55,12,3,Very happy,Good,Working full time,Not very strong republican
2024,Married,48,12,2,Very happy,Good,Working full time,Strong democrat
2024,Never married,34,14,2,Pretty happy,Good,Working part time,Not very strong democrat
2024,Divorced,32,16,0,Pretty happy,Fair,Working full time,Not very strong democrat
2024,Divorced,68,15,0,Not too happy,Good,Retired,Strong democrat
2024,Never married,35,12,0,Very happy,Good,Keeping house,"Independent (neither, no response)"
2024,Never married,44,12,5,Pretty happy,Fair,Working part time,"Independent (neither, no response)"
2024,Separated,48,12,2,Not too happy,Good,Keeping house,"Independent (neither, no response)"
2024,Divorced,43,14,7,Not too happy,Poor,Other,"Independent (neither, no response)"
2024,Separated,43,13,4,Pretty happy,Good,In school,Not very strong democrat
2024,Separated,45,12,6,Very happy,Fair,"Unemployed, laid off, looking for work",Not very strong democrat
2024,Never married,63,13,1,Pretty happy,Fair,Retired,Not very strong democrat
2024,Never married,27,12,0,Not too happy,Excellent,"Unemployed, laid off, looking for work","Independent (neither, no response)"
2024,Divorced,37,16,2,Not too happy,Good,Working part time,Strong democrat
2024,Married,60,12,1,Pretty happy,Good,Retired,"Independent, close to democrat"
2024,Never married,44,10,0,Not too happy,Fair,"Unemployed, laid off, looking for work","Independent, close to democrat"
2024,Never married,24,12,0,Pretty happy,Excellent,Working full time,"Independent, close to republican"
2024,Never married,51,13,6,Not too happy,Good,"With a job, but not at work because of temporary illness, vacation, strike",Strong democrat
2024,Never married,39,14,2,Pretty happy,Fair,Working part time,Strong republican
2024,Never married,55,20,1,Pretty happy,Fair,Working full time,Strong democrat
2024,Never married,48,11,4,Not too happy,Excellent,Other,Not very strong republican
2024,Married,60,16,0,Pretty happy,Fair,Working full time,"Independent, close to democrat"
2024,Divorced,60,16,2,Not too happy,Excellent,Working full time,Not very strong republican
2024,Widowed,70,17,1,Not too happy,Fair,Keeping house,"Independent, close to democrat"
2024,Married,65,18,2,Pretty happy,Good,Retired,Strong republican
2024,Never married,54,13,0,Not too happy,Fair,Working full time,Not very strong democrat
2024,Never married,45,11,4,Pretty happy,Good,Keeping house,"Independent, close to democrat"
2024,Married,38,12,5,Not too happy,Fair,Working part time,"Independent, close to republican"
2024,Never married,22,15,1,Pretty happy,Good,Working full time,"Independent (neither, no response)"
2024,Widowed,76,16,1,Pretty happy,Good,Retired,Not very strong republican
2024,Married,42,20,3,Very happy,Good,Working full time,Strong democrat
2024,Widowed,89,16,2,Very happy,Good,Keeping house,Not very strong republican
2024,Widowed,89,12,5,Pretty happy,Good,Retired,Strong democrat
2024,Married,56,16,3,Not too happy,Good,Keeping house,Not very strong republican
2024,Never married,55,14,1,Very happy,Excellent,Working full time,"Independent (neither, no response)"
2024,Married,41,18,3,Very happy,Good,Working full time,Not very strong democrat
2024,Married,53,16,2,Not too happy,Good,"Unemployed, laid off, looking for work",Not very strong democrat
2024,Divorced,60,16,2,Pretty happy,Good,Working full time,Strong democrat
2024,Married,72,13,2,Pretty happy,Good,Retired,Not very strong republican
