rank,previous_rank_change,artist,song,weeks_on_chart,peak_rank,streams,genre
89,-19,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE),28,8,10247217,Alternative
90,+1,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson),33,2,10217261,Pop
91,-7,Michael Jackson,Chicago,18,12,10182903,Pop
92,-5,Olivia Rodrigo,honeybee,11,6,10097731,Pop
93,+11,Maroon 5,Payphone (w/ Wiz Khalifa),118,70,10046134,Pop
94,+6,Shawn Mendes,There's Nothing Holdin' Me Back,99,5,9981373,Pop
95,-14,Billie Eilish,WILDFLOWER,119,9,9924089,Pop
96,+15,Alyssa Grace,bloodstream,5,96,9923603,Pop
97,-15,LE SSERAFIM,"ICONIC BY MISTAKE (w/ ILLIT, KATSEYE)",11,21,9909834,K-pop
98,+9,ROSÉ,APT. (w/ Bruno Mars),97,1,9870269,K-pop
99,-5,Don Omar,Danza Kuduro (w/ Lucenzo),139,52,9846242,Latin
100,-5,Justin Bieber,DAISIES,59,2,9810769,Pop
101,-15,Evanescence,Bring Me To Life,73,85,9798428,Rock
102,+51,Natasha Bedingfield,Unwritten,84,16,9789870,Pop
103,+5,LOS DOS DE TAMAULIPAS,Ayúdame,8,103,9746347,Regional Mexican
104,RE,P!nk,Just Give Me a Reason (w/ Nate Ruess),19,40,9718591,Pop
105,+1,Journey,Don't Stop Believin' (2022 Remaster),80,53,9708476,Rock
106,-9,"Tyler, The Creator",See You Again (w/ Kali Uchis),176,16,9701677,Hip-hop
107,-17,Rihanna,Umbrella (w/ JAŸ-Z),16,59,9691345,Pop
108,-10,Ya Ice Dilan,"Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)",8,81,9653673,Latin
109,+25,Jay Wheeler,De Lejitos - Remix (w/ Omar Courtz),12,109,9631431,Latin
110,-18,Rihanna,Don't Stop The Music,44,65,9625707,Pop
111,+6,OneRepublic,Counting Stars,429,3,9579919,Pop
112,-32,ANOTR,Talk To You (ft. 54 Ultra) (w/ 54 Ultra),2,80,9573226,Electronic
113,+19,The Chainsmokers,Closer (w/ Halsey),276,1,9550031,Electronic
114,+5,Sabrina Carpenter,Manchild,64,1,9504212,Pop
115,+11,Bruno Mars,I Just Might,33,3,9498127,Pop
116,+32,SIENNA SPIRO,Die On This Hill,37,9,9442216,Pop
117,-21,Neton Vega,Nalguita y Teta,19,67,9397804,Regional Mexican
118,+6,Gorillaz,Feel Good Inc,88,46,9390542,Alternative
119,-3,Tame Impala,Dracula,42,35,9374516,Alternative
120,NEW,Dolly Parton,9 to 5,1,120,9354104,Country
121,-1,Dominic Fike,White Keys,27,30,9343069,Indie
122,-7,The Weeknd,Blinding Lights,352,1,9339102,R&B
123,+13,Raim Laode,Iqro',9,123,9338893,Pop
124,+4,Macklemore & Ryan Lewis,"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",198,86,9332341,Hip-hop
125,=,KAROL G,Si Antes Te Hubiera Conocido,107,5,9255997,Latin
126,+7,Bruno Mars,That's What I Like,205,6,9252259,Pop
127,-22,Ariana Grande,we can't be friends (wait for your love),126,1,9240539,Pop
128,NEW,PARTYNEXTDOOR,Some of Your Love,1,128,9239686,R&B
129,-28,Rihanna,Only Girl (In The World),44,99,9182720,Pop
130,-31,Anuv Jain,Arz Kiya Hai | Coke Studio Bharat,8,90,9177509,Indie
131,-10,sombr,Homewrecker,29,21,9160606,Indie
132,+13,Danny Ocean,Me Rehúso,111,20,9158655,Latin
133,+7,Emmanuel Cortes,Amor,10,119,9150564,Latin
134,-24,F3miii,NOBLE,16,45,9141383,Latin
135,-21,Guns N' Roses,Sweet Child O' Mine,86,99,9113984,Rock
136,+16,Arctic Monkeys,Do I Wanna Know?,236,38,9075486,Rock
137,-14,Banjaare,Barsaat (w/ Roni),2,123,9048399,Pop
138,-11,Teddy Swims,Lose Control,146,5,9033097,Pop
