name,country,country_code,event,competition,d_score,e_score,penalty,score,rank
Lynnzee Brown,Haiti,HAI,Floor Exercise,Qualification,4.8,7.433,0,12.233,64
Naomi Visser,Netherlands,NED,Floor Exercise,Qualification,5.4,6.833,0,12.233,65
McDONALD Kate,Australia,AUS,Floor Exercise,Qualification,5.1,7,0,12.1,66
Morgane Osyssek-Reimer,France,FRA,Floor Exercise,Qualification,5.5,6.833,0.3,12.033,67
Ahtziri Sandoval,Mexico,MEX,Floor Exercise,Qualification,4.7,7.133,0,11.833,68
Alba Petisco,Spain,ESP,Floor Exercise,Qualification,5,6.8,0,11.8,69
Charlize Moerz,AUT,AUT,Floor Exercise,Qualification,5.3,6.533,0.1,11.733,70
Lucija Hribar,Slovenia,SLO,Floor Exercise,Qualification,4.3,7.366,0,11.666,71
Chang Ok An,North Korea,PRK,Floor Exercise,Qualification,4.6,7.166,0.1,11.666,72
Caitlin Rooskrantz,South Africa,RSA,Floor Exercise,Qualification,4.4,6.766,0.3,10.866,73
Jade Carey,United States,USA,Floor Exercise,Qualification,5.1,6.433,0.9,10.633,74
Yunseo Lee,South Korea,KOR,Floor Exercise,Qualification,4.3,6.066,0.3,10.066,75
Jade Carey,United States,USA,Vault,Team Final,5.6,9.2,0,14.8,1
Jordan Chiles,United States,USA,Vault,Team Final,5,9.4,0,14.4,1
Simone Biles,United States,USA,Vault,Team Final,5.6,9.3,0,14.9,1
Alice D'Amato,Italy,ITA,Vault,Team Final,5,8.933,0,13.933,2
Angela Andreoli,Italy,ITA,Vault,Team Final,4.6,8.966,0,13.566,2
Manila Esposito,Italy,ITA,Vault,Team Final,5,9.166,0,14.166,2
Flavia Saraiva,Brazil,BRA,Vault,Team Final,5,8.9,0,13.9,3
Jade Barbosa,Brazil,BRA,Vault,Team Final,5,8.466,0.1,13.366,3
Rebeca Andrade,Brazil,BRA,Vault,Team Final,5.6,9.5,0,15.1,3
Alice Kinsella,Great Britain,GBR,Vault,Team Final,5,8.966,0,13.966,4
Georgia-Mae Fenton,Great Britain,GBR,Vault,Team Final,4.6,9.2,0,13.8,4
Ruby Evans,Great Britain,GBR,Vault,Team Final,5.4,8.866,0.3,13.966,4
Ava Stewart,Canada,CAN,Vault,Team Final,4.6,8.7,0,13.3,5
Elsabeth Black,Canada,CAN,Vault,Team Final,5,9.166,0,14.166,5
Shallon Olsen,Canada,CAN,Vault,Team Final,5.6,8.8,0,14.4,5
Huan Luo,China,CHN,Vault,Team Final,4.2,8.966,0,13.166,6
Qiyuan Qiu,China,CHN,Vault,Team Final,4.4,8.733,0,13.133,6
Yihan Zhang,China,CHN,Vault,Team Final,5.2,8.6,0.1,13.7,6
Ana Barbosu,Romania,ROU,Vault,Team Final,5.2,8.733,0,13.933,7
Lilia Cosman,Romania,ROU,Vault,Team Final,4.6,8.833,0,13.433,7
Sabrina Maneca-Voinea,Romania,ROU,Vault,Team Final,5,8.633,0,13.633,7
Haruka Nakamura,Japan,JPN,Vault,Team Final,4.2,8.766,0,12.966,8
Kohane Ushioku,Japan,JPN,Vault,Team Final,5,8.833,0,13.833,8
Rina Kishi,Japan,JPN,Vault,Team Final,5,8.966,0,13.966,8
Jordan Chiles,United States,USA,Uneven Bars,Team Final,6,8.366,0,14.366,1
Simone Biles,United States,USA,Uneven Bars,Team Final,6.2,8.2,0,14.4,1
Sunisa Lee,United States,USA,Uneven Bars,Team Final,6.3,8.266,0,14.566,1
Alice D'Amato,Italy,ITA,Uneven Bars,Team Final,6.3,8.333,0,14.633,2
Elisa Iorio,Italy,ITA,Uneven Bars,Team Final,6.3,7.966,0,14.266,2
Giorgia Villa,Italy,ITA,Uneven Bars,Team Final,5.8,7.966,0,13.766,2
Flavia Saraiva,Brazil,BRA,Uneven Bars,Team Final,5.6,8.066,0,13.666,3
Lorrane Oliveira,Brazil,BRA,Uneven Bars,Team Final,5.5,7.5,0,13,3
Rebeca Andrade,Brazil,BRA,Uneven Bars,Team Final,6.2,8.333,0,14.533,3
Alice Kinsella,Great Britain,GBR,Uneven Bars,Team Final,6,7.3,0,13.3,4
Georgia-Mae Fenton,Great Britain,GBR,Uneven Bars,Team Final,5.8,8.2,0,14,4
Rebecca Downie,Great Britain,GBR,Uneven Bars,Team Final,6.7,8.233,0,14.933,4
Aurelie Tran,Canada,CAN,Uneven Bars,Team Final,5.3,8.2,0,13.5,5
Ava Stewart,Canada,CAN,Uneven Bars,Team Final,5.5,8,0,13.5,5
Elsabeth Black,Canada,CAN,Uneven Bars,Team Final,5.7,7.1,0,12.8,5
Huan Luo,China,CHN,Uneven Bars,Team Final,6.1,7.833,0,13.933,6
Qiyuan Qiu,China,CHN,Uneven Bars,Team Final,6.6,7.7,0,14.3,6
Yihan Zhang,China,CHN,Uneven Bars,Team Final,6.4,8.033,0,14.433,6
Amalia Ghigoarta,Romania,ROU,Uneven Bars,Team Final,5.3,8.033,0,13.333,7
Ana Barbosu,Romania,ROU,Uneven Bars,Team Final,6.1,6.633,0.3,12.433,7
Lilia Cosman,Romania,ROU,Uneven Bars,Team Final,5.4,7.733,0,13.133,7
Haruka Nakamura,Japan,JPN,Uneven Bars,Team Final,5.8,6.633,0,12.433,8
Mana Okamura,Japan,JPN,Uneven Bars,Team Final,5.6,7.5,0,13.1,8
Rina Kishi,Japan,JPN,Uneven Bars,Team Final,5.5,8.1,0,13.6,8
Jordan Chiles,United States,USA,Balance Beam,Team Final,5.6,7.133,0,12.733,1
Simone Biles,United States,USA,Balance Beam,Team Final,6.4,7.966,0,14.366,1
Sunisa Lee,United States,USA,Balance Beam,Team Final,6.4,8.2,0,14.6,1
Alice D'Amato,Italy,ITA,Balance Beam,Team Final,5.6,8.333,0,13.933,2
Angela Andreoli,Italy,ITA,Balance Beam,Team Final,5.6,7.7,0,13.3,2
Manila Esposito,Italy,ITA,Balance Beam,Team Final,5.8,8.166,0,13.966,2
Flavia Saraiva,Brazil,BRA,Balance Beam,Team Final,5.5,7.933,0,13.433,3
Julia Soares,Brazil,BRA,Balance Beam,Team Final,5.4,7,0,12.4,3
Rebeca Andrade,Brazil,BRA,Balance Beam,Team Final,6.1,8.033,0,14.133,3
Alice Kinsella,Great Britain,GBR,Balance Beam,Team Final,5.5,8.1,0,13.6,4
Georgia-Mae Fenton,Great Britain,GBR,Balance Beam,Team Final,5.5,8.066,0,13.566,4
Rebecca Downie,Great Britain,GBR,Balance Beam,Team Final,4.8,8.133,0,12.933,4
Ava Stewart,Canada,CAN,Balance Beam,Team Final,6,7.8,0,13.8,5
Cassandra Lee,Canada,CAN,Balance Beam,Team Final,5.8,7.533,0,13.333,5
Elsabeth Black,Canada,CAN,Balance Beam,Team Final,6.4,7.9,0,14.3,5
Huan Luo,China,CHN,Balance Beam,Team Final,6.1,7.8,0,13.9,6
Qiyuan Qiu,China,CHN,Balance Beam,Team Final,6.4,8.2,0,14.6,6
Yaqin Zhou,China,CHN,Balance Beam,Team Final,6.1,6.3,0.1,12.3,6
Amalia Ghigoarta,Romania,ROU,Balance Beam,Team Final,5.4,7.1,0,12.5,7
Ana Barbosu,Romania,ROU,Balance Beam,Team Final,4.9,7.8,0,12.7,7
Sabrina Maneca-Voinea,Romania,ROU,Balance Beam,Team Final,6.1,7.7,0,13.8,7
Haruka Nakamura,Japan,JPN,Balance Beam,Team Final,5.6,7.2,0,12.8,8
Mana Okamura,Japan,JPN,Balance Beam,Team Final,5.6,8.1,0,13.7,8
Rina Kishi,Japan,JPN,Balance Beam,Team Final,5.5,7.966,0,13.466,8
Jordan Chiles,United States,USA,Floor Exercise,Team Final,5.8,8.166,0,13.966,1
Simone Biles,United States,USA,Floor Exercise,Team Final,6.8,8.066,0.2,14.666,1
Sunisa Lee,United States,USA,Floor Exercise,Team Final,5.4,8.133,0,13.533,1
Alice D'Amato,Italy,ITA,Floor Exercise,Team Final,5.6,7.966,0.1,13.466,2
Angela Andreoli,Italy,ITA,Floor Exercise,Team Final,5.9,7.933,0,13.833,2
Manila Esposito,Italy,ITA,Floor Exercise,Team Final,5.1,7.666,0.1,12.666,2
Flavia Saraiva,Brazil,BRA,Floor Exercise,Team Final,5.4,8.133,0,13.533,3
Julia Soares,Brazil,BRA,Floor Exercise,Team Final,5.3,7.933,0,13.233,3
Rebeca Andrade,Brazil,BRA,Floor Exercise,Team Final,6.1,8.1,0,14.2,3
Abigail Martin,Great Britain,GBR,Floor Exercise,Team Final,5.8,7.666,0,13.466,4
Alice Kinsella,Great Britain,GBR,Floor Exercise,Team Final,5.6,8.033,0,13.633,4
Ruby Evans,Great Britain,GBR,Floor Exercise,Team Final,5.3,7.8,0,13.1,4
Aurelie Tran,Canada,CAN,Floor Exercise,Team Final,5,8.1,0,13.1,5
Cassandra Lee,Canada,CAN,Floor Exercise,Team Final,4.7,7.9,0,12.6,5
Elsabeth Black,Canada,CAN,Floor Exercise,Team Final,5.6,8.033,0,13.633,5
Yaqin Zhou,China,CHN,Floor Exercise,Team Final,5.5,7.7,0,13.2,6
Yihan Zhang,China,CHN,Floor Exercise,Team Final,5.2,7.533,0,12.733,6
Yushan Ou,China,CHN,Floor Exercise,Team Final,5.1,7.633,0,12.733,6
Amalia Ghigoarta,Romania,ROU,Floor Exercise,Team Final,5.1,8.033,0,13.133,7
Ana Barbosu,Romania,ROU,Floor Exercise,Team Final,5.8,8.066,0.3,13.566,7
Sabrina Maneca-Voinea,Romania,ROU,Floor Exercise,Team Final,6,7.9,0,13.9,7
Haruka Nakamura,Japan,JPN,Floor Exercise,Team Final,5.4,7.833,0,13.233,8
Mana Okamura,Japan,JPN,Floor Exercise,Team Final,5,7.933,0,12.933,8
Rina Kishi,Japan,JPN,Floor Exercise,Team Final,5.6,7.833,0,13.433,8
Simone Biles,United States,USA,Vault,All-Around Final,6.4,9.366,0,15.766,1
Rebeca Andrade,Brazil,BRA,Vault,All-Around Final,5.6,9.5,0,15.1,2
Sunisa Lee,United States,USA,Vault,All-Around Final,5,8.933,0,13.933,3
Alice D'Amato,Italy,ITA,Vault,All-Around Final,5,9,0,14,4
Kaylia Nemour,Algeria,ALG,Vault,All-Around Final,5,9.033,0,14.033,5
Elsabeth Black,Canada,CAN,Vault,All-Around Final,5,9.1,0,14.1,6
Qiyuan Qiu,China,CHN,Vault,All-Around Final,4.4,8.733,0,13.133,7
Helen Kevric,Germany,GER,Vault,All-Around Final,5,8.866,0,13.866,8
Flavia Saraiva,Brazil,BRA,Vault,All-Around Final,5,8.633,0,13.633,9
Naomi Visser,Netherlands,NED,Vault,All-Around Final,4.2,8.766,0,12.966,10
Rina Kishi,Japan,JPN,Vault,All-Around Final,5,8.766,0,13.766,11
Alice Kinsella,Great Britain,GBR,Vault,All-Around Final,5,8.8,0,13.8,12
Ruby Pass,Australia,AUS,Vault,All-Around Final,5,8.733,0.1,13.633,13
Manila Esposito,Italy,ITA,Vault,All-Around Final,5,8.866,0,13.866,14
Haruka Nakamura,Japan,JPN,Vault,All-Around Final,4.2,8.633,0,12.833,15
Yushan Ou,China,CHN,Vault,All-Around Final,4.2,8.766,0,12.966,16
Ana Barbosu,Romania,ROU,Vault,All-Around Final,5.2,8.8,0,14,17
Georgia-Mae Fenton,Great Britain,GBR,Vault,All-Around Final,4.6,9.033,0,13.633,18
Ava Stewart,Canada,CAN,Vault,All-Around Final,4.6,8.733,0,13.333,19
Filipa Martins,Portugal,POR,Vault,All-Around Final,5,7.6,0.1,12.5,20
Bettina Lili Czifra,Hungary,HUN,Vault,All-Around Final,4.2,8.766,0,12.966,21
Amalia Ghigoarta,Romania,ROU,Vault,All-Around Final,4.2,8.9,0,13.1,22
Luisa Blanco,Colombia,COL,Vault,All-Around Final,4.6,8.9,0,13.5,23
Sarah Voss,Germany,GER,Vault,All-Around Final,5,7.8,0.3,12.5,24
Simone Biles,United States,USA,Uneven Bars,All-Around Final,6.2,7.533,0,13.733,1
Rebeca Andrade,Brazil,BRA,Uneven Bars,All-Around Final,6.2,8.466,0,14.666,2
Sunisa Lee,United States,USA,Uneven Bars,All-Around Final,6.4,8.466,0,14.866,3
Alice D'Amato,Italy,ITA,Uneven Bars,All-Around Final,6.4,8.4,0,14.8,4
Kaylia Nemour,Algeria,ALG,Uneven Bars,All-Around Final,7.2,8.333,0,15.533,5
Elsabeth Black,Canada,CAN,Uneven Bars,All-Around Final,6,8.066,0,14.066,6
Qiyuan Qiu,China,CHN,Uneven Bars,All-Around Final,6.6,7.3,0,13.9,7
Helen Kevric,Germany,GER,Uneven Bars,All-Around Final,6.2,8.266,0,14.466,8
Flavia Saraiva,Brazil,BRA,Uneven Bars,All-Around Final,5.6,8.3,0,13.9,9
Naomi Visser,Netherlands,NED,Uneven Bars,All-Around Final,6.1,8.166,0,14.266,10
Rina Kishi,Japan,JPN,Uneven Bars,All-Around Final,5.6,8.233,0,13.833,11
Alice Kinsella,Great Britain,GBR,Uneven Bars,All-Around Final,6,8.133,0,14.133,12
Ruby Pass,Australia,AUS,Uneven Bars,All-Around Final,6.1,7.633,0,13.733,13
Manila Esposito,Italy,ITA,Uneven Bars,All-Around Final,5.5,7.3,0,12.8,14
Haruka Nakamura,Japan,JPN,Uneven Bars,All-Around Final,6.1,7.833,0,13.933,15
Yushan Ou,China,CHN,Uneven Bars,All-Around Final,5.8,8.166,0,13.966,16
Ana Barbosu,Romania,ROU,Uneven Bars,All-Around Final,6,6.433,0,12.433,17
Georgia-Mae Fenton,Great Britain,GBR,Uneven Bars,All-Around Final,5.7,8.1,0,13.8,18
Ava Stewart,Canada,CAN,Uneven Bars,All-Around Final,5.8,6.833,0,12.633,19
Filipa Martins,Portugal,POR,Uneven Bars,All-Around Final,5.3,8.266,0,13.566,20
Bettina Lili Czifra,Hungary,HUN,Uneven Bars,All-Around Final,5.9,8,0,13.9,21
Amalia Ghigoarta,Romania,ROU,Uneven Bars,All-Around Final,5.3,7.266,0,12.566,22
Luisa Blanco,Colombia,COL,Uneven Bars,All-Around Final,4.5,6.933,0.3,11.133,23
Sarah Voss,Germany,GER,Uneven Bars,All-Around Final,5.2,7.133,0,12.333,24
Simone Biles,United States,USA,Balance Beam,All-Around Final,6.4,8.166,0,14.566,1
Rebeca Andrade,Brazil,BRA,Balance Beam,All-Around Final,6.1,8.033,0,14.133,2
Sunisa Lee,United States,USA,Balance Beam,All-Around Final,6.2,7.8,0,14,3
Alice D'Amato,Italy,ITA,Balance Beam,All-Around Final,5.8,8.233,0,14.033,4
Kaylia Nemour,Algeria,ALG,Balance Beam,All-Around Final,5.6,7.633,0,13.233,5
Elsabeth Black,Canada,CAN,Balance Beam,All-Around Final,6,6.933,0,12.933,6
Qiyuan Qiu,China,CHN,Balance Beam,All-Around Final,6.4,8.1,0,14.5,7
Helen Kevric,Germany,GER,Balance Beam,All-Around Final,5.4,8,0,13.4,8
Flavia Saraiva,Brazil,BRA,Balance Beam,All-Around Final,5.9,8.366,0,14.266,9
Naomi Visser,Netherlands,NED,Balance Beam,All-Around Final,5.2,8.133,0,13.333,10
Rina Kishi,Japan,JPN,Balance Beam,All-Around Final,5.6,7.533,0,13.133,11
Alice Kinsella,Great Britain,GBR,Balance Beam,All-Around Final,5.5,7.533,0,13.033,12
Ruby Pass,Australia,AUS,Balance Beam,All-Around Final,5.6,7.866,0,13.466,13
Manila Esposito,Italy,ITA,Balance Beam,All-Around Final,6,8.2,0,14.2,14
Haruka Nakamura,Japan,JPN,Balance Beam,All-Around Final,5.8,7.9,0,13.7,15
Yushan Ou,China,CHN,Balance Beam,All-Around Final,6,8.033,0,14.033,16
Ana Barbosu,Romania,ROU,Balance Beam,All-Around Final,5.6,6.866,0,12.466,17
Georgia-Mae Fenton,Great Britain,GBR,Balance Beam,All-Around Final,4.4,6.9,0,11.3,18
Ava Stewart,Canada,CAN,Balance Beam,All-Around Final,6,7.166,0,13.166,19
Filipa Martins,Portugal,POR,Balance Beam,All-Around Final,4.9,7.8,0,12.7,20
Bettina Lili Czifra,Hungary,HUN,Balance Beam,All-Around Final,4.8,6.6,0,11.4,21
Amalia Ghigoarta,Romania,ROU,Balance Beam,All-Around Final,5.1,6.8,0,11.9,22
Luisa Blanco,Colombia,COL,Balance Beam,All-Around Final,5.3,7.566,0,12.866,23
Sarah Voss,Germany,GER,Balance Beam,All-Around Final,5.6,6.7,0,12.3,24
Simone Biles,United States,USA,Floor Exercise,All-Around Final,6.9,8.166,0,15.066,1
Rebeca Andrade,Brazil,BRA,Floor Exercise,All-Around Final,5.9,8.233,0.1,14.033,2
Sunisa Lee,United States,USA,Floor Exercise,All-Around Final,5.4,8.266,0,13.666,3
Alice D'Amato,Italy,ITA,Floor Exercise,All-Around Final,5.6,8,0.1,13.5,4
Kaylia Nemour,Algeria,ALG,Floor Exercise,All-Around Final,5.5,7.7,0.1,13.1,5
Elsabeth Black,Canada,CAN,Floor Exercise,All-Around Final,5.6,8.1,0,13.7,6
Qiyuan Qiu,China,CHN,Floor Exercise,All-Around Final,5.1,8.133,0,13.233,7
Helen Kevric,Germany,GER,Floor Exercise,All-Around Final,5.5,7.366,0,12.866,8
Flavia Saraiva,Brazil,BRA,Floor Exercise,All-Around Final,5.4,7.133,0.3,12.233,9
Naomi Visser,Netherlands,NED,Floor Exercise,All-Around Final,5.4,8,0,13.4,10
Rina Kishi,Japan,JPN,Floor Exercise,All-Around Final,5.7,7.533,0,13.233,11
Alice Kinsella,Great Britain,GBR,Floor Exercise,All-Around Final,4.9,7.933,0,12.833,12
Ruby Pass,Australia,AUS,Floor Exercise,All-Around Final,5.2,7.766,0,12.966,13
Manila Esposito,Italy,ITA,Floor Exercise,All-Around Final,5.7,7.033,0,12.733,14
Haruka Nakamura,Japan,JPN,Floor Exercise,All-Around Final,5.3,7.333,0,12.633,15
Yushan Ou,China,CHN,Floor Exercise,All-Around Final,5.1,6.833,0,11.933,16
Ana Barbosu,Romania,ROU,Floor Exercise,All-Around Final,5.7,7.866,0,13.566,17
Georgia-Mae Fenton,Great Britain,GBR,Floor Exercise,All-Around Final,5.2,7.833,0,13.033,18
Ava Stewart,Canada,CAN,Floor Exercise,All-Around Final,4.9,7.6,0,12.5,19
Filipa Martins,Portugal,POR,Floor Exercise,All-Around Final,4.8,7.766,0.1,12.466,20
Bettina Lili Czifra,Hungary,HUN,Floor Exercise,All-Around Final,5.8,7.233,0.2,12.833,21
Amalia Ghigoarta,Romania,ROU,Floor Exercise,All-Around Final,5.2,7.966,0,13.166,22
Luisa Blanco,Colombia,COL,Floor Exercise,All-Around Final,4.7,8,0,12.7,23
Sarah Voss,Germany,GER,Floor Exercise,All-Around Final,5,7.866,0,12.866,24
Simone Biles,United States,USA,Vault,Event Final,6.4,9.4,0.1,15.7,1
Simone Biles,United States,USA,Vault,Event Final,5.6,9.3,0,14.9,1
Rebeca Andrade,Brazil,BRA,Vault,Event Final,5.6,9.5,0,15.1,2
Rebeca Andrade,Brazil,BRA,Vault,Event Final,5.4,9.433,0,14.833,2
Jade Carey,United States,USA,Vault,Event Final,5.6,9.133,0,14.733,3
Jade Carey,United States,USA,Vault,Event Final,5,9.2,0,14.2,3
Chang Ok An,North Korea,PRK,Vault,Event Final,5,9.066,0,14.066,4
Chang Ok An,North Korea,PRK,Vault,Event Final,5.6,8.766,0,14.366,4
Valentina Georgieva,Bulgaria,BUL,Vault,Event Final,5,9.1,0,14.1,5
Valentina Georgieva,Bulgaria,BUL,Vault,Event Final,4.8,9.066,0,13.866,5
Elsabeth Black,Canada,CAN,Vault,Event Final,5,9.1,0,14.1,6
Elsabeth Black,Canada,CAN,Vault,Event Final,4.8,8.966,0,13.766,6
Seojeong Yeo,South Korea,KOR,Vault,Event Final,5.4,8.766,0,14.166,7
Seojeong Yeo,South Korea,KOR,Vault,Event Final,5,7.666,0,12.666,7
Shallon Olsen,Canada,CAN,Vault,Event Final,5.6,8.5,0,14.1,8
Shallon Olsen,Canada,CAN,Vault,Event Final,5,7.633,0,12.633,8
Kaylia Nemour,Algeria,ALG,Uneven Bars,Event Final,7.2,8.5,0,15.7,1
Qiyuan Qiu,China,CHN,Uneven Bars,Event Final,7.2,8.3,0,15.5,2
Sunisa Lee,United States,USA,Uneven Bars,Event Final,6.4,8.4,0,14.8,3
Nina Derwael,Belgium,BEL,Uneven Bars,Event Final,6.5,8.266,0,14.766,4
Alice D'Amato,Italy,ITA,Uneven Bars,Event Final,6.4,8.333,0,14.733,5
Helen Kevric,Germany,GER,Uneven Bars,Event Final,6.4,8.166,0,14.566,6
Rebecca Downie,Great Britain,GBR,Uneven Bars,Event Final,6.5,7.133,0,13.633,7
Yihan Zhang,China,CHN,Uneven Bars,Event Final,6.1,6.7,0,12.8,8
Alice D'Amato,Italy,ITA,Balance Beam,Event Final,5.8,8.566,0,14.366,1
Yaqin Zhou,China,CHN,Balance Beam,Event Final,6.6,7.5,0,14.1,2
Manila Esposito,Italy,ITA,Balance Beam,Event Final,5.8,8.2,0,14,3
Rebeca Andrade,Brazil,BRA,Balance Beam,Event Final,5.7,8.233,0,13.933,4
Simone Biles,United States,USA,Balance Beam,Event Final,6.2,7.2,0.3,13.1,5
Sunisa Lee,United States,USA,Balance Beam,Event Final,6.2,6.9,0,13.1,6
Julia Soares,Brazil,BRA,Balance Beam,Event Final,5.3,7.033,0,12.333,7
Sabrina Maneca-Voinea,Romania,ROU,Balance Beam,Event Final,5.8,5.933,0,11.733,8
Rebeca Andrade,Brazil,BRA,Floor Exercise,Event Final,5.9,8.266,0,14.166,1
Simone Biles,United States,USA,Floor Exercise,Event Final,6.9,7.833,0.6,14.133,2
Jordan Chiles,United States,USA,Floor Exercise,Event Final,5.9,7.866,0,13.766,3
Ana Barbosu,Romania,ROU,Floor Exercise,Event Final,5.8,8,0.1,13.7,4
Sabrina Maneca-Voinea,Romania,ROU,Floor Exercise,Event Final,5.9,7.9,0.1,13.7,5
Alice D'Amato,Italy,ITA,Floor Exercise,Event Final,5.6,8.1,0.1,13.6,6
Rina Kishi,Japan,JPN,Floor Exercise,Event Final,5.7,7.566,0.1,13.166,7
Yushan Ou,China,CHN,Floor Exercise,Event Final,5.6,7.7,0.3,13,8
Manila Esposito,Italy,ITA,Floor Exercise,Event Final,5.7,6.533,0.1,12.133,9
