year,state,state_po,district,candidate,party
2020,Florida,FL,FL-27,Maria Elvira Salazar,Republican
2020,Georgia,GA,GA-01,"Earl L \""Buddy\"" Carter",Republican
2020,Georgia,GA,GA-02,Sanford D Bishop Jr,Democrat
2020,Georgia,GA,GA-03,A Drew Ferguson Iv,Republican
2020,Georgia,GA,GA-04,"Henry C \""Hank\"" Johnson Jr",Democrat
2020,Georgia,GA,GA-05,Nikema Williams,Democrat
2020,Georgia,GA,GA-06,Lucy Mcbath,Democrat
2020,Georgia,GA,GA-07,Carolyn Bourdeaux,Democrat
2020,Georgia,GA,GA-08,Austin Scott,Republican
2020,Georgia,GA,GA-09,Andrew Clyde,Republican
2020,Georgia,GA,GA-10,Jody B Hice,Republican
2020,Georgia,GA,GA-11,Barry Loudermilk,Republican
2020,Georgia,GA,GA-12,Rick W Allen,Republican
2020,Georgia,GA,GA-13,David Scott,Democrat
2020,Georgia,GA,GA-14,Marjorie Taylor Greene,Republican
2020,Hawaii,HI,HI-01,Ed Case,Democrat
2020,Hawaii,HI,HI-02,"Kaialii \""Kai\"" Kahele",Democrat
2020,Iowa,IA,IA-01,Ashley Hinson,Republican
2020,Iowa,IA,IA-02,Mariannette Miller-Meeks,Republican
2020,Iowa,IA,IA-03,Cynthia Axne,Democrat
2020,Iowa,IA,IA-04,Randy Feenstra,Republican
2020,Idaho,ID,ID-01,Russ Fulcher,Republican
2020,Idaho,ID,ID-02,Michael K Simpson,Republican
2020,Illinois,IL,IL-01,Bobby L Rush,Democrat
2020,Illinois,IL,IL-02,Robin L Kelly,Democrat
2020,Illinois,IL,IL-03,Marie Newman,Democrat
2020,Illinois,IL,IL-04,"Jesus G \""Chuy\"" Garcia",Democrat
2020,Illinois,IL,IL-05,Mike Quigley,Democrat
2020,Illinois,IL,IL-06,Sean Casten,Democrat
2020,Illinois,IL,IL-07,Danny K Davis,Democrat
2020,Illinois,IL,IL-08,Raja Krishnamoorthi,Democrat
2020,Illinois,IL,IL-09,Janice D Schakowsky,Democrat
2020,Illinois,IL,IL-10,Bradley Scott Schneider,Democrat
2020,Illinois,IL,IL-11,Bill Foster,Democrat
2020,Illinois,IL,IL-12,Mike Bost,Republican
2020,Illinois,IL,IL-13,Rodney Davis,Republican
2020,Illinois,IL,IL-14,Lauren Underwood,Democrat
2020,Illinois,IL,IL-15,Mary Miller,Republican
2020,Illinois,IL,IL-16,Adam Kinzinger,Republican
2020,Illinois,IL,IL-17,Cheri Bustos,Democrat
2020,Illinois,IL,IL-18,Darin Lahood,Republican
2020,Indiana,IN,IN-01,Frank J Mrvan,Democrat
2020,Indiana,IN,IN-02,Jackie Walorski,Republican
2020,Indiana,IN,IN-03,Jim Banks,Republican
2020,Indiana,IN,IN-04,James R Baird,Republican
2020,Indiana,IN,IN-05,Victoria Spartz,Republican
2020,Indiana,IN,IN-06,Greg Pence,Republican
2020,Indiana,IN,IN-07,Andre Carson,Democrat
2020,Indiana,IN,IN-08,Larry Bucshon,Republican
2020,Indiana,IN,IN-09,Trey Hollingsworth,Republican
2020,Kansas,KS,KS-01,Tracey Mann,Republican
2020,Kansas,KS,KS-02,Jake Laturner,Republican
2020,Kansas,KS,KS-03,Sharice Davids,Democrat
2020,Kansas,KS,KS-04,Ron Estes,Republican
2020,Kentucky,KY,KY-01,James Comer,Republican
2020,Kentucky,KY,KY-02,Brett Guthrie,Republican
2020,Kentucky,KY,KY-03,John A Yarmuth,Democrat
2020,Kentucky,KY,KY-04,Thomas Massie,Republican
2020,Kentucky,KY,KY-05,Harold Rogers,Republican
2020,Kentucky,KY,KY-06,Andy Barr,Republican
2020,Louisiana,LA,LA-01,Steve Scalise,Republican
2020,Louisiana,LA,LA-02,Cedric L Richmond,Democrat
2020,Louisiana,LA,LA-03,Clay Higgins,Republican
2020,Louisiana,LA,LA-04,Mike Johnson,Republican
2020,Louisiana,LA,LA-05,Luke J Letlow,Republican
2020,Louisiana,LA,LA-06,Garret Graves,Republican
2020,Massachusetts,MA,MA-01,Richard E Neal,Democrat
2020,Massachusetts,MA,MA-02,James P Mcgovern,Democrat
2020,Massachusetts,MA,MA-03,Lori Trahan,Democrat
2020,Massachusetts,MA,MA-04,Jake Auchincloss,Democrat
2020,Massachusetts,MA,MA-05,Katherine M Clark,Democrat
2020,Massachusetts,MA,MA-06,Seth Moulton,Democrat
2020,Massachusetts,MA,MA-07,Ayanna Pressley,Democrat
2020,Massachusetts,MA,MA-08,Stephen F Lynch,Democrat
2020,Massachusetts,MA,MA-09,William R Keating,Democrat
2020,Maryland,MD,MD-01,Andy Harris,Republican
2020,Maryland,MD,MD-02,C A Dutch Ruppersberger,Democrat
2020,Maryland,MD,MD-03,John P Sarbanes,Democrat
2020,Maryland,MD,MD-04,Anthony G Brown,Democrat
2020,Maryland,MD,MD-05,Steny H Hoyer,Democrat
2020,Maryland,MD,MD-06,David J Trone,Democrat
2020,Maryland,MD,MD-07,Kweisi Mfume,Democrat
2020,Maryland,MD,MD-08,Jamie Raskin,Democrat
2020,Maine,ME,ME-01,Chellie Pingree,Democrat
2020,Maine,ME,ME-02,Jared F Golden,Democrat
2020,Michigan,MI,MI-01,Jack Bergman,Republican
2020,Michigan,MI,MI-02,Bill Huizenga,Republican
2020,Michigan,MI,MI-03,Peter Meijer,Republican
2020,Michigan,MI,MI-04,John R Moolenaar,Republican
2020,Michigan,MI,MI-05,Daniel T Kildee,Democrat
2020,Michigan,MI,MI-06,Fred Upton,Republican
2020,Michigan,MI,MI-07,Tim Walberg,Republican
2020,Michigan,MI,MI-08,Elissa Slotkin,Democrat
2020,Michigan,MI,MI-09,Andy Levin,Democrat
2020,Michigan,MI,MI-10,Lisa Mcclain,Republican
2020,Michigan,MI,MI-11,Haley M Stevens,Democrat
2020,Michigan,MI,MI-12,Debbie Dingell,Democrat
2020,Michigan,MI,MI-13,Rashida Tlaib,Democrat
2020,Michigan,MI,MI-14,Brenda L Lawrence,Democrat
2020,Minnesota,MN,MN-01,Jim Hagedorn,Republican
2020,Minnesota,MN,MN-02,Angie Craig,Democrat
2020,Minnesota,MN,MN-03,Dean Phillips,Democrat
2020,Minnesota,MN,MN-04,Betty Mccollum,Democrat
2020,Minnesota,MN,MN-05,Ilhan Omar,Democrat
2020,Minnesota,MN,MN-06,Tom Emmer,Republican
2020,Minnesota,MN,MN-07,Michelle Fischbach,Republican
2020,Minnesota,MN,MN-08,Pete Stauber,Republican
2020,Missouri,MO,MO-01,Cori Bush,Democrat
2020,Missouri,MO,MO-02,Ann Wagner,Republican
2020,Missouri,MO,MO-03,Blaine Luetkemeyer,Republican
2020,Missouri,MO,MO-04,Vicky Hartzler,Republican
2020,Missouri,MO,MO-05,Emanuel Cleaver,Democrat
2020,Missouri,MO,MO-06,Sam Graves,Republican
2020,Missouri,MO,MO-07,Billy Long,Republican
2020,Missouri,MO,MO-08,Jason Smith,Republican
2020,Mississippi,MS,MS-01,Trent Kelly,Republican
2020,Mississippi,MS,MS-02,Bennie G Thompson,Democrat
2020,Mississippi,MS,MS-03,Michael Guest,Republican
2020,Mississippi,MS,MS-04,Steven M Palazzo,Republican
2020,Montana,MT,MT-00,Matt Rosendale,Republican
2020,North Carolina,NC,NC-01,G K Butterfield,Democrat
2020,North Carolina,NC,NC-02,Deborah K Ross,Democrat
2020,North Carolina,NC,NC-03,Gregory F Murphy,Republican
2020,North Carolina,NC,NC-04,David E Price,Democrat
2020,North Carolina,NC,NC-05,Virginia Foxx,Republican
2020,North Carolina,NC,NC-06,Kathy Manning,Democrat
2020,North Carolina,NC,NC-07,David Rouzer,Republican
2020,North Carolina,NC,NC-08,Richard Hudson,Republican
2020,North Carolina,NC,NC-09,Dan Bishop,Republican
2020,North Carolina,NC,NC-10,Patrick T Mchenry,Republican
2020,North Carolina,NC,NC-11,Madison Cawthorn,Republican
2020,North Carolina,NC,NC-12,Alma S Adams,Democrat
2020,North Carolina,NC,NC-13,Ted Budd,Republican
2020,North Dakota,ND,ND-00,Kelly Armstrong,Republican
2020,Nebraska,NE,NE-01,Jeff Fortenberry,Republican
2020,Nebraska,NE,NE-02,Don Bacon,Republican
2020,Nebraska,NE,NE-03,Adrian Smith,Republican
2020,New Hampshire,NH,NH-01,Chris Pappas,Democrat
2020,New Hampshire,NH,NH-02,Ann M Kuster,Democrat
2020,New Jersey,NJ,NJ-01,Donald Norcross,Democrat
2020,New Jersey,NJ,NJ-02,Jefferson Van Drew,Republican
2020,New Jersey,NJ,NJ-03,Andy Kim,Democrat
2020,New Jersey,NJ,NJ-04,Christopher H Smith,Republican
2020,New Jersey,NJ,NJ-05,Josh Gottheimer,Democrat
2020,New Jersey,NJ,NJ-06,Frank Pallone Jr,Democrat
2020,New Jersey,NJ,NJ-07,Tom Malinowski,Democrat
2020,New Jersey,NJ,NJ-08,Albio Sires,Democrat
2020,New Jersey,NJ,NJ-09,Bill Pascrell Jr,Democrat
2020,New Jersey,NJ,NJ-10,Donald M Payne Jr,Democrat
2020,New Jersey,NJ,NJ-11,Mikie Sherrill,Democrat
2020,New Jersey,NJ,NJ-12,Bonnie Watson Coleman,Democrat
2020,New Mexico,NM,NM-01,Debra A Haaland,Democrat
2020,New Mexico,NM,NM-02,Yvette Herrell,Republican
2020,New Mexico,NM,NM-03,Teresa Leger Fernandez,Democrat
2020,Nevada,NV,NV-01,Dina Titus,Democrat
2020,Nevada,NV,NV-02,Mark E Amodei,Republican
2020,Nevada,NV,NV-03,Susie Lee,Democrat
2020,Nevada,NV,NV-04,Steven Horsford,Democrat
2020,New York,NY,NY-01,Lee M Zeldin,Republican
2020,New York,NY,NY-02,Andrew R Garbarino,Republican
2020,New York,NY,NY-03,Thomas R Suozzi,Democrat
2020,New York,NY,NY-04,Kathleen M Rice,Democrat
2020,New York,NY,NY-05,Gregory W Meeks,Democrat
2020,New York,NY,NY-06,Grace Meng,Democrat
2020,New York,NY,NY-07,Nydia M Velazquez,Democrat
2020,New York,NY,NY-08,Hakeem S Jeffries,Democrat
2020,New York,NY,NY-09,Yvette D Clarke,Democrat
2020,New York,NY,NY-10,Jerrold L Nadler,Democrat
2020,New York,NY,NY-11,Nicole Malliotakis,Republican
2020,New York,NY,NY-12,Carolyn B Maloney,Democrat
2020,New York,NY,NY-13,Adriano Espaillat,Democrat
2020,New York,NY,NY-14,Alexandria Ocasio-Cortez,Democrat
2020,New York,NY,NY-15,Ritchie Torres,Democrat
2020,New York,NY,NY-16,Jamaal Bowman,Democrat
2020,New York,NY,NY-17,Mondaire Jones,Democrat
2020,New York,NY,NY-18,Sean Patrick Maloney,Democrat
2020,New York,NY,NY-19,Antonio Delgado,Democrat
2020,New York,NY,NY-20,Paul D Tonko,Democrat
2020,New York,NY,NY-21,Elise M Stefanik,Republican
2020,New York,NY,NY-22,Claudia Tenney,Republican
2020,New York,NY,NY-23,Tom Reed,Republican
2020,New York,NY,NY-24,John M Katko,Republican
2020,New York,NY,NY-25,Joseph D Morelle,Democrat
2020,New York,NY,NY-26,Brian Higgins,Democrat
2020,New York,NY,NY-27,Chris Jacobs,Republican
2020,Ohio,OH,OH-01,Steve Chabot,Republican
2020,Ohio,OH,OH-02,Brad R Wenstrup,Republican
2020,Ohio,OH,OH-03,Joyce Beatty,Democrat
2020,Ohio,OH,OH-04,Jim Jordan,Republican
2020,Ohio,OH,OH-05,Robert E Latta,Republican
2020,Ohio,OH,OH-06,Bill Johnson,Republican
2020,Ohio,OH,OH-07,Bob Gibbs,Republican
2020,Ohio,OH,OH-08,Warren Davidson,Republican
2020,Ohio,OH,OH-09,Marcy Kaptur,Democrat
2020,Ohio,OH,OH-10,Michael R Turner,Republican
2020,Ohio,OH,OH-11,Marcia L Fudge,Democrat
2020,Ohio,OH,OH-12,Troy Balderson,Republican
2020,Ohio,OH,OH-13,Tim Ryan,Democrat
2020,Ohio,OH,OH-14,David P Joyce,Republican
2020,Ohio,OH,OH-15,Steve Stivers,Republican
2020,Ohio,OH,OH-16,Anthony Gonzalez,Republican
2020,Oklahoma,OK,OK-01,Kevin Hern,Republican
2020,Oklahoma,OK,OK-02,Markwayne Mullin,Republican
2020,Oklahoma,OK,OK-03,Frank D Lucas,Republican
2020,Oklahoma,OK,OK-04,Tom Cole,Republican
2020,Oklahoma,OK,OK-05,Stephanie Bice,Republican
2020,Oregon,OR,OR-01,Suzanne Bonamici,Democrat
2020,Oregon,OR,OR-02,Cliff Bentz,Republican
2020,Oregon,OR,OR-03,Earl Blumenauer,Democrat
2020,Oregon,OR,OR-04,Peter A Defazio,Democrat
2020,Oregon,OR,OR-05,Kurt Schrader,Democrat
2020,Pennsylvania,PA,PA-01,Brian K Fitzpatrick,Republican
2020,Pennsylvania,PA,PA-02,Brendan F Boyle,Democrat
