year,state,state_po,district,candidate,party
2022,California,CA,CA-19,Jimmy Panetta,Democrat
2022,California,CA,CA-20,Kevin Mccarthy,Republican
2022,California,CA,CA-21,Jim Costa,Democrat
2022,California,CA,CA-22,David G Valadao,Republican
2022,California,CA,CA-23,Jay Obernolte,Republican
2022,California,CA,CA-24,Salud O Carbajal,Democrat
2022,California,CA,CA-25,Raul Ruiz,Democrat
2022,California,CA,CA-26,Julia Brownley,Democrat
2022,California,CA,CA-27,Mike Garcia,Republican
2022,California,CA,CA-28,Judy Chu,Democrat
2022,California,CA,CA-29,Tony CãRdenas,Democrat
2022,California,CA,CA-30,Adam B Schiff,Democrat
2022,California,CA,CA-31,Grace F Napolitano,Democrat
2022,California,CA,CA-32,Brad Sherman,Democrat
2022,California,CA,CA-33,Pete Aguilar,Democrat
2022,California,CA,CA-34,Jimmy Gomez,Democrat
2022,California,CA,CA-35,Norma J Torres,Democrat
2022,California,CA,CA-36,Ted Lieu,Democrat
2022,California,CA,CA-37,Sydney Kamlager,Democrat
2022,California,CA,CA-38,Linda T SãNchez,Democrat
2022,California,CA,CA-39,Mark Takano,Democrat
2022,California,CA,CA-40,Young Kim,Republican
2022,California,CA,CA-41,Ken Calvert,Republican
2022,California,CA,CA-42,Robert Garcia,Democrat
2022,California,CA,CA-43,Maxine Waters,Democrat
2022,California,CA,CA-44,Nanette Diaz BarragãN,Democrat
2022,California,CA,CA-45,Michelle Steel,Republican
2022,California,CA,CA-46,J Luis Correa,Democrat
2022,California,CA,CA-47,Katie Porter,Democrat
2022,California,CA,CA-48,Darrell Issa,Republican
2022,California,CA,CA-49,Mike Levin,Democrat
2022,California,CA,CA-50,Scott H Peters,Democrat
2022,California,CA,CA-51,Sara Jacobs,Democrat
2022,California,CA,CA-52,Juan Vargas,Democrat
2022,Colorado,CO,CO-01,Diana Degette,Democrat
2022,Colorado,CO,CO-02,Joe Neguse,Democrat
2022,Colorado,CO,CO-03,Lauren Boebert,Republican
2022,Colorado,CO,CO-04,Ken Buck,Republican
2022,Colorado,CO,CO-05,Doug Lamborn,Republican
2022,Colorado,CO,CO-06,Jason Crow,Democrat
2022,Colorado,CO,CO-07,Brittany Pettersen,Democrat
2022,Colorado,CO,CO-08,Yadira Caraveo,Democrat
2022,Connecticut,CT,CT-01,John B Larson,Democrat
2022,Connecticut,CT,CT-02,Joe Courtney,Democrat
2022,Connecticut,CT,CT-03,Rosa L Delauro,Democrat
2022,Connecticut,CT,CT-04,James A Himes,Democrat
2022,Connecticut,CT,CT-05,Jahana Hayes,Democrat
2022,Delaware,DE,DE-00,Lisa Blunt Rochester,Democrat
2022,Florida,FL,FL-01,Matt Gaetz,Republican
2022,Florida,FL,FL-02,Neal P Dunn,Republican
2022,Florida,FL,FL-03,Kat Cammack,Republican
2022,Florida,FL,FL-04,Aaron Bean,Republican
2022,Florida,FL,FL-05,John H Rutherford,Republican
2022,Florida,FL,FL-06,Michael Waltz,Republican
2022,Florida,FL,FL-07,Cory Mills,Republican
2022,Florida,FL,FL-08,Bill Posey,Republican
2022,Florida,FL,FL-09,Darren Soto,Democrat
2022,Florida,FL,FL-10,Maxwell Alejandro Frost,Democrat
2022,Florida,FL,FL-11,Daniel Webster,Republican
2022,Florida,FL,FL-12,Gus M Bilirakis,Republican
2022,Florida,FL,FL-13,Anna Paulina Luna,Republican
2022,Florida,FL,FL-14,Kathy Castor,Democrat
2022,Florida,FL,FL-15,Laurel Lee,Republican
2022,Florida,FL,FL-16,Vern Buchanan,Republican
2022,Florida,FL,FL-17,W Gregory Steube,Republican
2022,Florida,FL,FL-18,C Scott Franklin,Republican
2022,Florida,FL,FL-19,Byron Donalds,Republican
2022,Florida,FL,FL-20,Sheila Cherfilus-Mccormick,Democrat
2022,Florida,FL,FL-21,Brian J Mast,Republican
2022,Florida,FL,FL-22,Lois Frankel,Democrat
2022,Florida,FL,FL-23,Jared Moskowitz,Democrat
2022,Florida,FL,FL-24,Frederica S Wilson,Democrat
2022,Florida,FL,FL-25,Debbie Wasserman Schultz,Democrat
2022,Florida,FL,FL-26,Mario Diaz-Balart,Republican
2022,Florida,FL,FL-27,Maria Elvira Salazar,Republican
2022,Florida,FL,FL-28,Carlos A Gimenez,Republican
2022,Georgia,GA,GA-01,Earl L ÂBuddyâ Carter,Republican
2022,Georgia,GA,GA-02,"Sanford D Bishop, Jr",Democrat
2022,Georgia,GA,GA-03,A Drew Ferguson Iv,Republican
2022,Georgia,GA,GA-04,"Henry C ÂHankâ Johnson, Jr",Democrat
2022,Georgia,GA,GA-05,Nikema Williams,Democrat
2022,Georgia,GA,GA-06,Rich Mccormick,Republican
2022,Georgia,GA,GA-07,Lucy Mcbath,Democrat
2022,Georgia,GA,GA-08,Austin Scott,Republican
2022,Georgia,GA,GA-09,Andrew S Clyde,Republican
2022,Georgia,GA,GA-10,Mike Collins,Republican
2022,Georgia,GA,GA-11,Barry Loudermilk,Republican
2022,Georgia,GA,GA-12,Rick W Allen,Republican
2022,Georgia,GA,GA-13,David Scott,Democrat
2022,Georgia,GA,GA-14,Marjorie Taylor Greene,Republican
2022,Hawaii,HI,HI-01,Ed Case,Democrat
2022,Hawaii,HI,HI-02,Jill N Tokuda,Democrat
2022,Iowa,IA,IA-01,Mariannette Miller-Meeks,Republican
2022,Iowa,IA,IA-02,Ashley Hinson,Republican
2022,Iowa,IA,IA-03,Zach Nunn,Republican
2022,Iowa,IA,IA-04,Randy Feenstra,Republican
2022,Idaho,ID,ID-01,Russ Fulcher,Republican
2022,Idaho,ID,ID-02,Michael K Simpson,Republican
2022,Illinois,IL,IL-01,Jonathan L Jackson,Democrat
2022,Illinois,IL,IL-02,Robin L Kelly,Democrat
2022,Illinois,IL,IL-03,Delia Ramirez,Democrat
2022,Illinois,IL,IL-04,JesãS G ÂChuyâ GarcãA,Democrat
2022,Illinois,IL,IL-05,Mike Quigley,Democrat
2022,Illinois,IL,IL-06,Sean Casten,Democrat
2022,Illinois,IL,IL-07,Danny K Davis,Democrat
2022,Illinois,IL,IL-08,Raja Krishnamoorthi,Democrat
2022,Illinois,IL,IL-09,Janice D Schakowsky,Democrat
2022,Illinois,IL,IL-10,Bradley Scott Schneider,Democrat
2022,Illinois,IL,IL-11,Bill Foster,Democrat
2022,Illinois,IL,IL-12,Mike Bost,Republican
2022,Illinois,IL,IL-13,Nikki Budzinski,Democrat
2022,Illinois,IL,IL-14,Lauren Underwood,Democrat
2022,Illinois,IL,IL-15,Mary E Miller,Republican
2022,Illinois,IL,IL-16,Darin Lahood,Republican
2022,Illinois,IL,IL-17,Eric Sorensen,Democrat
2022,Indiana,IN,IN-01,Frank J Mrvan,Democrat
2022,Indiana,IN,IN-02,Rudolph ÂRudyâ Yakym Iii,Republican
2022,Indiana,IN,IN-03,Jim Banks,Republican
2022,Indiana,IN,IN-04,James R Baird,Republican
2022,Indiana,IN,IN-05,Victoria Spartz,Republican
2022,Indiana,IN,IN-06,Greg Pence,Republican
2022,Indiana,IN,IN-07,Andrã Carson,Democrat
2022,Indiana,IN,IN-08,Larry Bucshon,Republican
2022,Indiana,IN,IN-09,Erin Houchin,Republican
2022,Kansas,KS,KS-01,Tracey Mann,Republican
2022,Kansas,KS,KS-02,Jake Laturner,Republican
2022,Kansas,KS,KS-03,Sharice Davids,Democrat
2022,Kansas,KS,KS-04,Ron Estes,Republican
2022,Kentucky,KY,KY-01,James Comer,Republican
2022,Kentucky,KY,KY-02,Brett Guthrie,Republican
2022,Kentucky,KY,KY-03,Morgan Mcgarvey,Democrat
2022,Kentucky,KY,KY-04,Thomas Massie,Republican
2022,Kentucky,KY,KY-05,Harold Rogers,Republican
2022,Kentucky,KY,KY-06,Andy Barr,Republican
2022,Louisiana,LA,LA-01,Steve Scalise,Republican
2022,Louisiana,LA,LA-02,Troy A Carter,Democrat
2022,Louisiana,LA,LA-03,Clay Higgins,Republican
2022,Louisiana,LA,LA-04,Mike Johnson,Republican
2022,Louisiana,LA,LA-05,Julia Letlow,Republican
2022,Louisiana,LA,LA-06,Garret Graves,Republican
2022,Massachusetts,MA,MA-01,Richard E Neal,Democrat
2022,Massachusetts,MA,MA-02,James P Mcgovern,Democrat
2022,Massachusetts,MA,MA-03,Lori Trahan,Democrat
2022,Massachusetts,MA,MA-04,Jake Auchincloss,Democrat
2022,Massachusetts,MA,MA-05,Katherine M Clark,Democrat
2022,Massachusetts,MA,MA-06,Seth Moulton,Democrat
2022,Massachusetts,MA,MA-07,Ayanna Pressley,Democrat
2022,Massachusetts,MA,MA-08,Stephen F Lynch,Democrat
2022,Massachusetts,MA,MA-09,William R Keating,Democrat
2022,Maryland,MD,MD-01,Andy Harris,Republican
2022,Maryland,MD,MD-02,C A Dutch Ruppersberger,Democrat
2022,Maryland,MD,MD-03,John P Sarbanes,Democrat
2022,Maryland,MD,MD-04,Glenn F Ivey,Democrat
2022,Maryland,MD,MD-05,Steny H Hoyer,Democrat
2022,Maryland,MD,MD-06,David J Trone,Democrat
2022,Maryland,MD,MD-07,Kweisi Mfume,Democrat
2022,Maryland,MD,MD-08,Jamie Raskin,Democrat
2022,Maine,ME,ME-01,Chellie Pingree,Democrat
2022,Maine,ME,ME-02,Jared F Golden,Democrat
2022,Michigan,MI,MI-01,Jack Bergman,Republican
2022,Michigan,MI,MI-02,John R Moolenaar,Republican
2022,Michigan,MI,MI-03,Hillary Scholten,Democrat
2022,Michigan,MI,MI-04,Bill Huizenga,Republican
2022,Michigan,MI,MI-05,Tim Walberg,Republican
2022,Michigan,MI,MI-06,Debbie Dingell,Democrat
2022,Michigan,MI,MI-07,Elissa Slotkin,Democrat
2022,Michigan,MI,MI-08,Daniel T Kildee,Democrat
2022,Michigan,MI,MI-09,Lisa Mcclain,Republican
2022,Michigan,MI,MI-10,John James,Republican
2022,Michigan,MI,MI-11,Haley M Stevens,Democrat
2022,Michigan,MI,MI-12,Rashida Tlaib,Democrat
2022,Michigan,MI,MI-13,Shri Thanedar,Democrat
2022,Minnesota,MN,MN-01,Brad Finstad,Republican
2022,Minnesota,MN,MN-02,Angie Craig,Democrat
2022,Minnesota,MN,MN-03,Dean Phillips,Democrat
2022,Minnesota,MN,MN-04,Betty Mccollum,Democrat
2022,Minnesota,MN,MN-05,Ilhan Omar,Democrat
2022,Minnesota,MN,MN-06,Tom Emmer,Republican
2022,Minnesota,MN,MN-07,Michelle Fischbach,Republican
2022,Minnesota,MN,MN-08,Pete Stauber,Republican
2022,Missouri,MO,MO-01,Cori Bush,Democrat
2022,Missouri,MO,MO-02,Ann Wagner,Republican
2022,Missouri,MO,MO-03,Blaine Luetkemeyer,Republican
2022,Missouri,MO,MO-04,Mark Alford,Republican
2022,Missouri,MO,MO-05,Emanuel Cleaver,Democrat
2022,Missouri,MO,MO-06,Sam Graves,Republican
2022,Missouri,MO,MO-07,Eric Burlison,Republican
2022,Missouri,MO,MO-08,Jason Smith,Republican
2022,Mississippi,MS,MS-01,Trent Kelly,Republican
2022,Mississippi,MS,MS-02,Bennie G Thompson,Democrat
2022,Mississippi,MS,MS-03,Michael Guest,Republican
2022,Mississippi,MS,MS-04,Mike Ezell,Republican
2022,Montana,MT,MT-01,Ryan K Zinke,Republican
2022,Montana,MT,MT-02,"Matthew M Rosendale, Sr",Republican
2022,North Carolina,NC,NC-01,Don Davis,Democrat
2022,North Carolina,NC,NC-02,Deborah K Ross,Democrat
2022,North Carolina,NC,NC-03,Gregory F Murphy,Republican
2022,North Carolina,NC,NC-04,Valerie P Foushee,Democrat
2022,North Carolina,NC,NC-05,Virginia Foxx,Republican
2022,North Carolina,NC,NC-06,Kathy E Manning,Democrat
2022,North Carolina,NC,NC-07,David Rouzer,Republican
2022,North Carolina,NC,NC-08,Dan Bishop,Republican
2022,North Carolina,NC,NC-09,Richard Hudson,Republican
2022,North Carolina,NC,NC-10,Patrick T Mchenry,Republican
2022,North Carolina,NC,NC-11,Chuck Edwards,Republican
2022,North Carolina,NC,NC-12,Alma S Adams,Democrat
2022,North Carolina,NC,NC-13,Wiley Nickel,Democrat
2022,North Carolina,NC,NC-14,Jeff Jackson,Democrat
2022,North Dakota,ND,ND-00,Kelly Armstrong,Republican
2022,Nebraska,NE,NE-01,Mike Flood,Republican
2022,Nebraska,NE,NE-02,Don Bacon,Republican
2022,Nebraska,NE,NE-03,Adrian Smith,Republican
2022,New Hampshire,NH,NH-01,Chris Pappas,Democrat
2022,New Hampshire,NH,NH-02,Ann M Kuster,Democrat
2022,New Jersey,NJ,NJ-01,Donald Norcross,Democrat
2022,New Jersey,NJ,NJ-02,Jefferson Van Drew,Republican
2022,New Jersey,NJ,NJ-03,Andy Kim,Democrat
2022,New Jersey,NJ,NJ-04,Christopher H Smith,Republican
2022,New Jersey,NJ,NJ-05,Josh Gottheimer,Democrat
2022,New Jersey,NJ,NJ-06,"Frank Pallone, Jr",Democrat
2022,New Jersey,NJ,NJ-07,"Thomas H Kean, Jr",Republican
2022,New Jersey,NJ,NJ-08,Robert J Menendez,Democrat
2022,New Jersey,NJ,NJ-09,"Bill Pascrell, Jr",Democrat
2022,New Jersey,NJ,NJ-10,"Donald M Payne, Jr",Democrat
2022,New Jersey,NJ,NJ-11,Mikie Sherrill,Democrat
2022,New Jersey,NJ,NJ-12,Bonnie Watson Coleman,Democrat
2022,New Mexico,NM,NM-01,Melanie A Stansbury,Democrat
2022,New Mexico,NM,NM-02,Gabriel Vasquez,Democrat
2022,New Mexico,NM,NM-03,Teresa Leger Fernandez,Democrat
2022,Nevada,NV,NV-01,Dina Titus,Democrat
2022,Nevada,NV,NV-02,Mark E Amodei,Republican
2022,Nevada,NV,NV-03,Susie Lee,Democrat
2022,Nevada,NV,NV-04,Steven Horsford,Democrat
2022,New York,NY,NY-01,Nicholas J Lalota,Republican
2022,New York,NY,NY-02,Andrew R Garbarino,Republican
2022,New York,NY,NY-03,George A D Santos,Republican
2022,New York,NY,NY-04,Laura A Gillen,Democrat
2022,New York,NY,NY-05,Gregory W Meeks,Democrat
2022,New York,NY,NY-06,Grace Meng,Democrat
2022,New York,NY,NY-07,Nydia M VelãZquez,Democrat
2022,New York,NY,NY-08,Hakeem S Jeffries,Democrat
2022,New York,NY,NY-09,Yvette D Clarke,Democrat
2022,New York,NY,NY-10,Daniel Goldman,Democrat
2022,New York,NY,NY-11,Nicole Malliotakis,Republican
2022,New York,NY,NY-12,Jerrold Nadler,Democrat
2022,New York,NY,NY-13,Adriano Espaillat,Democrat
2022,New York,NY,NY-14,Alexandria Ocasio-Cortez,Democrat
2022,New York,NY,NY-15,Ritchie Torres,Democrat
2022,New York,NY,NY-16,Jamaal Bowman,Democrat
2022,New York,NY,NY-17,Sean Patrick Maloney,Democrat
2022,New York,NY,NY-18,Patrick Ryan,Democrat
2022,New York,NY,NY-19,Marcus Molinaro,Republican
2022,New York,NY,NY-20,Paul Tonko,Democrat
2022,New York,NY,NY-21,Elise M Stefanik,Republican
2022,New York,NY,NY-22,Francis Conole,Democrat
2022,New York,NY,NY-23,Nick Langworthy,Republican
2022,New York,NY,NY-24,Claudia Tenney,Republican
2022,New York,NY,NY-25,Joseph D Morelle,Democrat
2022,New York,NY,NY-26,Brian Higgins,Democrat
2022,Ohio,OH,OH-01,Greg Landsman,Democrat
2022,Ohio,OH,OH-02,Brad R Wenstrup,Republican
2022,Ohio,OH,OH-03,Joyce Beatty,Democrat
2022,Ohio,OH,OH-04,Jim Jordan,Republican
2022,Ohio,OH,OH-05,Robert E Latta,Republican
2022,Ohio,OH,OH-06,Bill Johnson,Republican
2022,Ohio,OH,OH-07,Max Miller,Republican
2022,Ohio,OH,OH-08,Warren Davidson,Republican
2022,Ohio,OH,OH-09,Marcy Kaptur,Democrat
2022,Ohio,OH,OH-10,Michael R Turner,Republican
2022,Ohio,OH,OH-11,Shontel M Brown,Democrat
2022,Ohio,OH,OH-12,Troy Balderson,Republican
2022,Ohio,OH,OH-13,Emilia Sykes,Democrat
2022,Ohio,OH,OH-14,David P Joyce,Republican
2022,Ohio,OH,OH-15,Mike Carey,Republican
2022,Oklahoma,OK,OK-01,Kevin Hern,Republican
2022,Oklahoma,OK,OK-02,Josh Brecheen,Republican
2022,Oklahoma,OK,OK-03,Frank D Lucas,Republican
2022,Oklahoma,OK,OK-04,Tom Cole,Republican
2022,Oklahoma,OK,OK-05,Stephanie I Bice,Republican
2022,Oregon,OR,OR-01,Suzanne Bonamici,Democrat
2022,Oregon,OR,OR-02,Cliff Bentz,Republican
2022,Oregon,OR,OR-03,Earl Blumenauer,Democrat
2022,Oregon,OR,OR-04,Val Hoyle,Democrat
2022,Oregon,OR,OR-05,Lori Chavez-Deremer,Republican
2022,Oregon,OR,OR-06,Andrea Salinas,Democrat
2022,Pennsylvania,PA,PA-01,Brian K Fitzpatrick,Republican
2022,Pennsylvania,PA,PA-02,Brendan F Boyle,Democrat
2022,Pennsylvania,PA,PA-03,Dwight Evans,Democrat
2022,Pennsylvania,PA,PA-04,Madeleine Dean,Democrat
2022,Pennsylvania,PA,PA-05,Mary Gay Scanlon,Democrat
2022,Pennsylvania,PA,PA-06,Chrissy Houlahan,Democrat
2022,Pennsylvania,PA,PA-07,Susan Wild,Democrat
2022,Pennsylvania,PA,PA-08,Matt Cartwright,Democrat
2022,Pennsylvania,PA,PA-09,Daniel Meuser,Republican
2022,Pennsylvania,PA,PA-10,Scott Perry,Republican
2022,Pennsylvania,PA,PA-11,Lloyd Smucker,Republican
2022,Pennsylvania,PA,PA-12,Summer Lee,Democrat
2022,Pennsylvania,PA,PA-13,John Joyce,Republican
2022,Pennsylvania,PA,PA-14,Guy Reschenthaler,Republican
2022,Pennsylvania,PA,PA-15,Glenn Thompson,Republican
2022,Pennsylvania,PA,PA-16,Mike Kelly,Republican
2022,Pennsylvania,PA,PA-17,Chris Deluzio,Democrat
2022,Rhode Island,RI,RI-01,David N Cicilline,Democrat
2022,Rhode Island,RI,RI-02,Seth M Magaziner,Democrat
2022,South Carolina,SC,SC-01,Nancy Mace,Republican
2022,South Carolina,SC,SC-02,Joe Wilson,Republican
2022,South Carolina,SC,SC-03,Jeff Duncan,Republican
2022,South Carolina,SC,SC-04,William R Timmons Iv,Republican
2022,South Carolina,SC,SC-05,Ralph Norman,Republican
2022,South Carolina,SC,SC-06,James E Clyburn,Democrat
2022,South Carolina,SC,SC-07,Russell Fry,Republican
2022,South Dakota,SD,SD-00,Dusty Johnson,Republican
2022,Tennessee,TN,TN-01,Diana Harshbarger,Republican
2022,Tennessee,TN,TN-02,Tim Burchett,Republican
2022,Tennessee,TN,TN-03,Charles J ÂChuckâ Fleischmann,Republican
2022,Tennessee,TN,TN-04,Scott Desjarlais,Republican
2022,Tennessee,TN,TN-05,Andy Ogles,Republican
2022,Tennessee,TN,TN-06,John W Rose,Republican
2022,Tennessee,TN,TN-07,Mark E Green,Republican
2022,Tennessee,TN,TN-08,David Kustoff,Republican
2022,Tennessee,TN,TN-09,Steve Cohen,Democrat
2022,Texas,TX,TX-01,Nathaniel Moran,Republican
2022,Texas,TX,TX-02,Dan Crenshaw,Republican
2022,Texas,TX,TX-03,Keith Self,Republican
2022,Texas,TX,TX-04,Pat Fallon,Republican
2022,Texas,TX,TX-05,Lance Gooden,Republican
2022,Texas,TX,TX-06,Jake Ellzey,Republican
2022,Texas,TX,TX-07,Lizzie Fletcher,Democrat
2022,Texas,TX,TX-08,Morgan Luttrell,Republican
2022,Texas,TX,TX-09,Al Green,Democrat
2022,Texas,TX,TX-10,Michael T Mccaul,Republican
2022,Texas,TX,TX-11,August Pfluger,Republican
2022,Texas,TX,TX-12,Kay Granger,Republican
2022,Texas,TX,TX-13,Ronny Jackson,Republican
2022,Texas,TX,TX-14,"Randy K Weber, Sr",Republican
2022,Texas,TX,TX-15,Monica De La Cruz,Republican
2022,Texas,TX,TX-16,Veronica Escobar,Democrat
2022,Texas,TX,TX-17,Pete Sessions,Republican
2022,Texas,TX,TX-18,Sheila Jackson Lee,Democrat
2022,Texas,TX,TX-19,Jodey C Arrington,Republican
2022,Texas,TX,TX-20,Joaquin Castro,Democrat
2022,Texas,TX,TX-21,Chip Roy,Republican
2022,Texas,TX,TX-22,Troy E Nehls,Republican
2022,Texas,TX,TX-23,Tony Gonzales,Republican
2022,Texas,TX,TX-24,Beth Van Duyne,Republican
2022,Texas,TX,TX-25,Roger Williams,Republican
2022,Texas,TX,TX-26,Michael C Burgess,Republican
2022,Texas,TX,TX-27,Michael Cloud,Republican
2022,Texas,TX,TX-28,Henry Cuellar,Democrat
2022,Texas,TX,TX-29,Sylvia R Garcia,Democrat
2022,Texas,TX,TX-30,Jasmine Crockett,Democrat
2022,Texas,TX,TX-31,John R Carter,Republican
2022,Texas,TX,TX-32,Colin Z Allred,Democrat
2022,Texas,TX,TX-33,Marc A Veasey,Democrat
2022,Texas,TX,TX-34,Vicente Gonzalez,Democrat
2022,Texas,TX,TX-35,Greg Casar,Democrat
2022,Texas,TX,TX-36,Brian Babin,Republican
2022,Texas,TX,TX-37,Lloyd Doggett,Democrat
2022,Texas,TX,TX-38,Wesley Hunt,Republican
2022,Utah,UT,UT-01,Blake D Moore,Republican
2022,Utah,UT,UT-02,Chris Stewart,Republican
2022,Utah,UT,UT-03,John R Curtis,Republican
2022,Utah,UT,UT-04,Burgess Owens,Republican
2022,Virginia,VA,VA-01,Robert J Wittman,Republican
2022,Virginia,VA,VA-02,Jen A Kiggans,Republican
2022,Virginia,VA,VA-03,Robert C ÂBobbyâ Scott,Democrat
2022,Virginia,VA,VA-04,A Donald Mceachin,Democrat
2022,Virginia,VA,VA-05,Bob Good,Republican
2022,Virginia,VA,VA-06,Ben Cline,Republican
2022,Virginia,VA,VA-07,Abigail Davis Spanberger,Democrat
2022,Virginia,VA,VA-08,"Donald S Beyer, Jr",Democrat
2022,Virginia,VA,VA-09,H Morgan Griffith,Republican
2022,Virginia,VA,VA-10,Jennifer Wexton,Democrat
2022,Virginia,VA,VA-11,Gerald E Connolly,Democrat
2022,Vermont,VT,VT-00,Becca Balint,Democrat
2022,Washington,WA,WA-01,Suzan K Delbene,Democrat
2022,Washington,WA,WA-02,Rick Larsen,Democrat
2022,Washington,WA,WA-03,Marie Gluesenkamp Perez,Democrat
2022,Washington,WA,WA-04,Dan Newhouse,Republican
2022,Washington,WA,WA-05,Cathy Mcmorris Rodgers,Republican
2022,Washington,WA,WA-06,Derek Kilmer,Democrat
2022,Washington,WA,WA-07,Pramila Jayapal,Democrat
2022,Washington,WA,WA-08,Kim Schrier,Democrat
2022,Washington,WA,WA-09,Adam Smith,Democrat
2022,Washington,WA,WA-10,Marilyn Strickland,Democrat
2022,Wisconsin,WI,WI-01,Bryan Steil,Republican
2022,Wisconsin,WI,WI-02,Mark Pocan,Democrat
2022,Wisconsin,WI,WI-03,Derrick Van Orden,Republican
2022,Wisconsin,WI,WI-04,Gwen Moore,Democrat
2022,Wisconsin,WI,WI-05,Scott Fitzgerald,Republican
2022,Wisconsin,WI,WI-06,Glenn Grothman,Republican
2022,Wisconsin,WI,WI-07,Thomas P Tiffany,Republican
2022,Wisconsin,WI,WI-08,Mike Gallagher,Republican
2022,West Virginia,WV,WV-01,Carol D Miller,Republican
2022,West Virginia,WV,WV-02,Alexander X Mooney,Republican
2022,Wyoming,WY,WY-00,Harriet Hageman,Republican
2024,Alaska,AK,AK-00,Nick Begich,Republican
2024,Alabama,AL,AL-01,Barry Moore,Republican
2024,Alabama,AL,AL-02,Shomari Figures,Democrat
2024,Alabama,AL,AL-03,Mike Rogers,Republican
2024,Alabama,AL,AL-04,Robert B. Aderholt,Republican
2024,Alabama,AL,AL-05,Dale W. Strong,Republican
2024,Alabama,AL,AL-06,Gary J. Palmer,Republican
2024,Alabama,AL,AL-07,Terri A. Sewell,Democrat
2024,Arkansas,AR,AR-01,"Eric A. \""Rick\"" Crawford",Republican
2024,Arkansas,AR,AR-02,J. French Hill,Republican
2024,Arkansas,AR,AR-03,Steve Womack,Republican
2024,Arkansas,AR,AR-04,Bruce Westerman,Republican
2024,Arizona,AZ,AZ-01,David Schweikert,Republican
2024,Arizona,AZ,AZ-02,Elijah Crane,Republican
2024,Arizona,AZ,AZ-03,Yassamin Ansari,Democrat
2024,Arizona,AZ,AZ-04,Greg Stanton,Democrat
2024,Arizona,AZ,AZ-05,Andy Biggs,Republican
2024,Arizona,AZ,AZ-06,Juan Ciscomani,Republican
2024,Arizona,AZ,AZ-07,Raúl M. Grijalva,Democrat
2024,Arizona,AZ,AZ-08,"Abraham \""Abe\"" Hamadeh",Republican
2024,Arizona,AZ,AZ-09,Paul A. Gosar,Republican
2024,California,CA,CA-01,Doug Lamalfa,Republican
2024,California,CA,CA-02,Jared Huffman,Democrat
2024,California,CA,CA-03,Kevin Kiley,Republican
2024,California,CA,CA-04,Mike Thompson,Democrat
2024,California,CA,CA-05,Tom Mcclintock,Republican
2024,California,CA,CA-06,Ami Bera,Democrat
2024,California,CA,CA-07,Doris O. Matsui,Democrat
2024,California,CA,CA-08,John Garamendi,Democrat
2024,California,CA,CA-09,Josh Harder,Democrat
2024,California,CA,CA-10,Mark Desaulnier,Democrat
2024,California,CA,CA-11,Nancy Pelosi,Democrat
2024,California,CA,CA-12,Lateefah Simon,Democrat
2024,California,CA,CA-13,Adam Gray,Democrat
2024,California,CA,CA-14,Eric Swalwell,Democrat
2024,California,CA,CA-15,Kevin Mullin,Democrat
2024,California,CA,CA-16,Sam Liccardo,Democrat
2024,California,CA,CA-17,Ro Khanna,Democrat
2024,California,CA,CA-18,Zoe Lofgren,Democrat
2024,California,CA,CA-19,Jimmy Panetta,Democrat
2024,California,CA,CA-20,Vince Fong,Republican
2024,California,CA,CA-21,Jim Costa,Democrat
2024,California,CA,CA-22,David G. Valadao,Republican
2024,California,CA,CA-23,Jay Obernolte,Republican
2024,California,CA,CA-24,Salud O. Carbajal,Democrat
2024,California,CA,CA-25,Raul Ruiz,Democrat
2024,California,CA,CA-26,Julia Brownley,Democrat
2024,California,CA,CA-27,George Whitesides,Democrat
2024,California,CA,CA-28,Judy Chu,Democrat
2024,California,CA,CA-29,Luz Maria Rivas,Democrat
2024,California,CA,CA-30,Laura Friedman,Democrat
2024,California,CA,CA-31,Gil Cisneros,Democrat
2024,California,CA,CA-32,Brad Sherman,Democrat
2024,California,CA,CA-33,Pete Aguilar,Democrat
2024,California,CA,CA-34,Jimmy Gomez,Democrat
2024,California,CA,CA-35,Norma J. Torres,Democrat
2024,California,CA,CA-36,Ted Lieu,Democrat
2024,California,CA,CA-37,Sydney Kamlager-Dove,Democrat
2024,California,CA,CA-38,Linda T. Sánchez,Democrat
2024,California,CA,CA-39,Mark Takano,Democrat
2024,California,CA,CA-40,Young Kim,Republican
2024,California,CA,CA-41,Ken Calvert,Republican
2024,California,CA,CA-42,Robert Garcia,Democrat
2024,California,CA,CA-43,Maxine Waters,Democrat
2024,California,CA,CA-44,Nanette Diaz Barragán,Democrat
2024,California,CA,CA-45,Derek Tran,Democrat
2024,California,CA,CA-46,J. Luis Correa,Democrat
2024,California,CA,CA-47,Dave Min,Democrat
2024,California,CA,CA-48,Darrell Issa,Republican
2024,California,CA,CA-49,Mike Levin,Democrat
2024,California,CA,CA-50,Scott H. Peters,Democrat
2024,California,CA,CA-51,Sara Jacobs,Democrat
2024,California,CA,CA-52,Juan Vargas,Democrat
2024,Colorado,CO,CO-01,Diana Degette,Democrat
2024,Colorado,CO,CO-02,Joe Neguse,Democrat
2024,Colorado,CO,CO-03,Jeff Hurd,Republican
2024,Colorado,CO,CO-04,Lauren Boebert,Republican
2024,Colorado,CO,CO-05,Jeff Crank,Republican
2024,Colorado,CO,CO-06,Jason Crow,Democrat
2024,Colorado,CO,CO-07,Brittany Pettersen,Democrat
2024,Colorado,CO,CO-08,Gabe Evans,Republican
